
1&amp;2. 提_2阿_1非_1罗_2大_4人_5哪_3，有_3好_3些_1人_2提_2笔_3作_4书_1，述_4说_1在_4我_3们_5中_1间_1所_3成_2就_4的_5事_4，是_4照_4传_2道_4的_5人_2，从_2起_3初_1亲_1眼_3看_4见_4，又_4传_2给_3我_3们_5的_5．
3. 这_4些_1事_4我_3既_4从_2起_3头_2都_1详_2细_4考_3察_2了_5，就_4定_4意_4要_4按_4着_5次_4序_4写_3给_3你_3，
4. 使_3你_3知_1道_4所_3学_2之_1道_4都_1是_4确_4实_2的_5．
5. 当_1犹_2太_4王_2希_1律_4的_5时_2候_4，亚_4比_3雅_3班_1里_3有_3一_1个_4祭_4司_1，名_2叫_4撒_1迦_1利_4亚_4．他_1妻_1子_5是_4亚_4伦_2的_5后_4人_2，名_2叫_4以_3利_4沙_1伯_2．
6. 他_1们_5二_4人_2，在_4神_2面_4前_2都_1是_4义_4人_2，遵_1行_2主_3的_5一_2切_4诫_4命_4礼_3仪_2，没_2有_3可_3指_3摘_1的_5．
7. 只_3是_4没_2有_3孩_2子_5，因_1为_4以_3利_4沙_1伯_2不_4生_1育_4，两_3个_4人_2又_4年_2纪_4老_3迈_4了_5．
8. 撒_1迦_1利_4亚_4按_4班_1次_4，在_4神_2面_4前_2供_1祭_4司_1的_5职_2分_4，
9. 照_4祭_4司_1的_5规_1矩_5掣_4签_1，得_2进_4主_3殿_4烧_1香_1．
10. 烧_1香_1的_5时_2候_4，众_4百_3姓_4在_4外_4面_4祷_3告_4．
11. 有_3主_3的_5使_3者_3站_4在_4香_1坛_2的_5右_4边_5，向_4他_1显_3现_4．
12. 撒_1迦_1利_4亚_4看_4见_4，就_4惊_1慌_1害_4怕_4．
13. 天_1使_3对_4他_1说_4，撒_1迦_1利_4亚_4，不_2要_4害_4怕_4．因_1为_4你_3的_5祈_2祷_3已_3经_1被_4听_1见_4了_5，你_3的_5妻_1子_5以_3利_4沙_1伯_2要_4给_3你_3生_1一_1个_4儿_2子_5，你_3要_4给_3他_1起_3名_2叫_4约_1翰_4．
14. 你_3必_4欢_1喜_3快_4乐_4，有_3许_3多_1人_2因_1他_1出_1世_4，也_3必_4喜_3乐_4．
15. 他_1在_4主_3面_4前_2将_1要_4为_4大_4，淡_4酒_3浓_2酒_3都_1不_4喝_1，从_2母_3腹_4里_3就_4被_4圣_4灵_2充_1满_3了_5．
16. 他_1要_4使_3许_3多_1以_3色_4列_4人_2回_2转_3，归_1于_2主_3他_1们_5的_5神_2．
17. 他_1必_4有_3以_3利_4亚_4的_5心_1志_4能_2力_4，行_2在_4主_3的_5前_2面_4，叫_4为_4父_4的_5心_1转_3向_4儿_2女_3，叫_4悖_4逆_4的_5人_2转_4从_2义_4人_2的_5智_4慧_4．又_4为_2主_3预_4备_4合_2用_4的_5百_3姓_4．
18. 撒_1迦_1利_4亚_4对_4天_1使_3说_4，我_3凭_2着_5什_2么_5可_3知_1道_4这_4事_4呢_5？我_3已_3经_1老_3了_5，我_3的_5妻_1子_5也_3年_2纪_4老_3迈_4了_5．
19. 天_1使_3回_2答_2说_4，我_3是_4站_4在_4神_2面_4前_2的_5加_1百_3列_4，奉_4差_4而_2来_2，对_4你_3说_1话_4，将_1这_4好_3信_4息_1报_4给_3你_3．
20. 到_4了_3时_2候_5，这_4话_4必_4然_2应_4验_4．只_3因_1你_3不_2信_4，你_3必_4哑_3吧_5不_4能_2说_1话_4，直_2到_4这_4事_4成_2就_4的_5日_4子_5．
21. 百_3姓_4等_3候_4撒_1迦_1利_4亚_4，诧_4异_4他_1许_3久_3在_4殿_4里_3．
22. 及_2至_4他_1出_1来_2，不_4能_2和_2他_1们_5说_1话_4．他_1们_5就_4知_1道_4他_1在_4殿_4里_3见_4了_5异_4象_4．因_1为_4他_1直_2向_4他_1们_5打_3手_5式_4，竟_4成_2了_5哑_3吧_5．
23. 他_1供_4职_2的_5日_4子_5已_3满_3，就_4回_2家_1去_4了_5．
24. 这_4些_1日_4子_5以_3后_4，他_1的_5妻_1子_5以_3利_4沙_1伯_2怀_2了_5孕_4，就_4隐_3藏_2了_5五_3个_4月_4，
25. 说_4，主_3在_4眷_4顾_4我_3的_5日_4子_5，这_4样_4看_4待_4我_3，要_4把_3我_3在_4人_2间_1的_5羞_1耻_3除_2掉_4．
26. 到_4了_3第_4六_4个_4月_4，天_1使_3加_1百_3列_4奉_4神_2的_5差_1遣_3，往_3加_1利_4利_4的_5一_1座_4城_2去_4，这_4城_2名_2叫_4拿_2撒_3勒_4．
27. 到_4一_1个_4童_2女_3那_4里_5，是_4已_3经_1许_3配_4大_4卫_4家_1的_5一_2个_4人_2，名_2叫_4约_1瑟_4，童_2女_3的_5名_2字_5叫_4马_3利_4亚_4．
28. 天_1使_3进_4去_4，对_4她_1说_1，蒙_1大_4恩_1的_5女_3子_3，我_3问_4你_3安_1，主_3和_2你_3同_2在_4了_5．
29. 马_3利_4亚_4因_1这_4话_4就_4很_3惊_1慌_1，又_4反_3复_4思_1想_3这_4样_4问_4安_1是_4什_2么_5意_4思_5．
30. 天_1使_3对_4她_1说_1，马_3利_4亚_4不_2要_4怕_4．你_3在_4神_2面_4前_2已_3经_1蒙_2恩_1了_5．
31. 你_3要_4怀_2孕_4生_1子_3，可_3以_3给_3他_1起_3名_2叫_4耶_1稣_1．
32. 他_1要_4为_4大_4，称_1为_2至_4高_1者_3的_5儿_2子_5．主_3神_2要_4把_3他_1祖_3大_4卫_4的_5位_4给_3他_1．
33. 他_1要_4作_4雅_3各_4家_1的_5王_4，直_2到_4永_3远_3．他_1的_5国_2也_3没_2有_3穷_2尽_4．
34. 马_3利_4亚_4对_4天_1使_3说_1，我_3没_2有_3出_1嫁_4，怎_3么_5有_3这_4事_4呢_5？
35. 天_1使_3回_2答_2说_1，圣_4灵_2要_4临_2到_4你_3身_1上_5，至_4高_1者_3的_5能_2力_4要_4荫_4庇_4你_3．因_1此_3所_3要_4生_1的_5圣_4者_3，必_4称_1为_2神_2的_5儿_2子_5．（或_4作_4所_3要_4生_1的_5必_4称_1为_2圣_4称_1为_2神_2的_5儿_2子_5）
36. 况_4且_3你_3的_5亲_1戚_5以_3利_4沙_1伯_2，在_4年_2老_3的_5时_2候_4，也_3怀_2了_5男_2胎_1．就_4是_4那_4素_4来_2称_1为_2不_4生_1育_4的_5，现_4在_4有_3孕_4六_4个_4月_4了_5．
